STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,mot_nrg,Motor energy,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AT,Austria,2021,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AT,Austria,2022,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AT,Austria,2023,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AT,Austria,2024,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,BA,Bosnia and Herzegovina,2013,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,BA,Bosnia and Herzegovina,2014,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,BA,Bosnia and Herzegovina,2015,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,BA,Bosnia and Herzegovina,2016,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,BA,Bosnia and Herzegovina,2017,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,BA,Bosnia and Herzegovina,2018,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,BA,Bosnia and Herzegovina,2019,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,BA,Bosnia and Herzegovina,2020,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,BA,Bosnia and Herzegovina,2021,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,BA,Bosnia and Herzegovina,2022,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,BA,Bosnia and Herzegovina,2023,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,BA,Bosnia and Herzegovina,2024,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,BE,Belgium,2024,,296,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,CH,Switzerland,2013,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,CH,Switzerland,2014,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,CH,Switzerland,2015,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,CH,Switzerland,2016,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,CH,Switzerland,2017,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,CH,Switzerland,2018,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,CH,Switzerland,2019,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,CH,Switzerland,2020,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,CH,Switzerland,2021,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,CH,Switzerland,2022,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,CH,Switzerland,2023,,0,,,,,
